provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
RIAU,2019,Sumatera,0.033115878480141143,3.656422408905382,1.0257894736842106,0.9292,0.05747,0.248409,0.507206,0.849958,0.468325,RENDAH,True
JAMBI,2019,Sumatera,0.0855081057220107,4.457150433889985,1.0128070175438595,0.924,0.149274,0.496966,0.481195,0.828346,0.52211,SEDANG,True
SUMATERA SELATAN,2019,Sumatera,0.3073413342462843,4.827213970749496,1.0410526315789475,0.8729,0.53798,0.611838,0.537786,0.61596,0.576087,SEDANG,True
BENGKULU,2019,Sumatera,0.14884630484988454,4.603113239800853,1.041578947368421,0.8477,0.260258,0.542275,0.53884,0.511222,0.475525,RENDAH,True
LAMPUNG,2019,Sumatera,0.25617497425334707,4.662946310544318,0.9875438596491228,0.8738,0.448324,0.560848,0.43058,0.619701,0.516919,SEDANG,True
KEPULAUAN BANGKA BELITUNG,2019,Sumatera,0.032781891456206344,2.8561693979509366,1.1271929824561404,0.9538,0.056884,0.0,0.710369,0.952203,0.510148,SEDANG,True
KEPULAUAN RIAU,2019,Sumatera,0.0005255514454034799,3.2301344485923598,1.1156140350877193,0.941,0.000363,0.116084,0.68717,0.899002,0.499141,RENDAH,True
JAKARTA,2019,Jawa,0.0003181827653488416,5.3957018262419885,1.271754385964912,0.9653,0.0,0.788305,1.0,1.0,0.757661,TINGGI,True
JAWA BARAT,2019,Jawa,0.18421664912696917,5.754213196471299,1.1371929824561402,0.9309000000000001,0.322235,0.899591,0.730404,0.857024,0.720594,TINGGI,True
JAWA TENGAH,2019,Jawa,0.27811505147156246,5.752620540352121,1.0633333333333332,0.892,0.486768,0.899097,0.582425,0.695345,0.660504,SEDANG,True
DAERAH ISTIMEWA YOGYAKARTA,2019,Jawa,0.13882156704572068,4.785522369743956,1.2312280701754388,0.883,0.242692,0.598897,0.918805,0.657938,0.641341,SEDANG,True
JAWA TIMUR,2019,Jawa,0.24134185789927104,5.627811049636239,1.083859649122807,0.8963,0.422332,0.860354,0.62355,0.713217,0.657567,SEDANG,True
BANTEN,2019,Jawa,0.11375177724660215,4.841453380910396,1.1733333333333333,0.9491,0.198763,0.616259,0.802812,0.932668,0.683648,SEDANG,True
BALI,2019,Bali-Nusa,0.13357940694966453,6.077680877773598,1.1512280701754387,0.9621,0.233506,1.0,0.758524,0.9867,0.770268,TINGGI,True
NUSA TENGGARA BARAT,2019,Bali-Nusa,0.2765427559955822,4.978173407060361,1.193684210526316,0.8544,0.484013,0.658698,0.843585,0.539069,0.643338,SEDANG,True
NUSA TENGGARA TIMUR,2019,Bali-Nusa,0.1487709724716836,4.081735564414501,0.9368421052631579,0.7891,0.260126,0.380432,0.328998,0.267664,0.30711,RENDAH,True
KALIMANTAN BARAT,2019,Kalimantan,0.16726344518750863,2.9232190664428326,0.9764912280701754,0.9251,0.292529,0.020813,0.408436,0.832918,0.435075,RENDAH,True
KALIMANTAN TENGAH,2019,Kalimantan,0.16338035655088587,3.0350871887011013,1.116140350877193,0.9502,0.285725,0.055538,0.688225,0.93724,0.555892,SEDANG,True
KALIMANTAN SELATAN,2019,Kalimantan,0.3164067340543343,3.7694795407498667,1.19,0.9545,0.553864,0.283504,0.836204,0.955112,0.704868,TINGGI,True
KALIMANTAN TIMUR,2019,Kalimantan,0.0682050760466491,3.6411786350872033,1.0896491228070175,0.9406,0.118954,0.243677,0.635149,0.89734,0.532273,SEDANG,True
KALIMANTAN UTARA,2019,Kalimantan,0.044943667475074105,3.2402294384489108,1.0996491228070175,0.9337,0.078195,0.119217,0.655185,0.868662,0.496637,RENDAH,True
