provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
KALIMANTAN TENGAH,2022,Kalimantan,0.059112995814969815,0.39457797859338545,1951384.0354060961,0.214314,0.207616,1.0,0.26983,0.478776,0.489055,KURANG,4,True
KALIMANTAN SELATAN,2022,Kalimantan,0.05034177423347039,0.0463728889146904,1921307.12606746,0.113965,0.175777,0.115689,0.265553,0.25383,0.202712,RENDAH,4,True
KALIMANTAN TIMUR,2022,Kalimantan,0.046478243722886815,0.1373866175890627,1575143.724727225,0.080224,0.161753,0.34683,0.216326,0.178195,0.225776,RENDAH,4,True
KALIMANTAN UTARA,2022,Kalimantan,0.042671830985915496,0.10144366197183098,1171283.6535211268,0.142265,0.147936,0.255549,0.158895,0.317268,0.219912,RENDAH,4,True
SULAWESI UTARA,2022,Sulawesi,0.13313544231862096,0.013189050956620572,3732290.281113847,0.204486,0.476308,0.031415,0.523086,0.456745,0.371889,KURANG,4,True
SULAWESI TENGAH,2022,Sulawesi,0.06586235489220564,0.03232172470978441,1703010.9807628524,0.157871,0.232115,0.080005,0.23451,0.352251,0.22472,RENDAH,4,True
SULAWESI SELATAN,2022,Sulawesi,0.047484192248468365,0.004706833098537715,1396911.8761808036,0.216878,0.165405,0.009873,0.190981,0.484524,0.212696,RENDAH,4,True
SULAWESI TENGGARA,2022,Sulawesi,0.10021842926425806,0.010277642016617166,2732065.5513365166,0.230129,0.356823,0.024021,0.380848,0.514228,0.31898,KURANG,4,True
GORONTALO,2022,Sulawesi,0.11242585551330798,0.014448669201520912,3350318.8948035487,0.377423,0.401134,0.034614,0.468767,0.844408,0.437231,KURANG,4,True
SULAWESI BARAT,2022,Sulawesi,0.04499825990116239,0.043450267975220995,1372993.7391243824,0.446833,0.156381,0.108267,0.187579,1.0,0.363057,KURANG,4,True
MALUKU,2022,Maluku-Papua,0.27740839796737093,0.009220379780690024,7085972.438619952,0.238506,1.0,0.021336,1.0,0.533006,0.638585,CUKUP,4,True
MALUKU UTARA,2022,Maluku-Papua,0.27468605724838413,0.02169898430286242,5991992.76469683,0.126536,0.990118,0.053027,0.844429,0.282009,0.542396,CUKUP,4,True
PAPUA BARAT,2022,Maluku-Papua,0.11690795197494346,0.012223768922916304,4797391.460762137,0.098004,0.417404,0.028963,0.67455,0.218051,0.334742,KURANG,4,True
PAPUA,2022,Maluku-Papua,0.05633148182152038,0.018869927469702535,1924449.492517444,0.100654,0.197519,0.045842,0.266,0.223991,0.183338,RENDAH,4,True
ACEH,2023,Sumatera,0.05392220661095911,0.02964278451527028,0.0,0.309693,0.194791,0.073616,0.0,0.671118,0.234881,RENDAH,3,False
SUMATERA UTARA,2023,Sumatera,0.02447896973090478,0.04559237179276045,0.0,0.243899,0.085438,0.114308,0.0,0.528193,0.181985,RENDAH,3,False
SUMATERA BARAT,2023,Sumatera,0.04074626602789911,0.035520070100042274,0.0,0.213606,0.145855,0.08861,0.0,0.462388,0.174213,RENDAH,3,False
RIAU,2023,Sumatera,0.017096006589584795,0.18735203941547943,0.0,0.271129,0.058017,0.47598,0.0,0.587345,0.280336,RENDAH,3,False
JAMBI,2023,Sumatera,0.013030936915116151,0.08911462347242101,0.0,0.339101,0.042919,0.225347,0.0,0.735002,0.250817,RENDAH,3,False
SUMATERA SELATAN,2023,Sumatera,0.010113677101523019,0.07453280214633469,0.0,0.135477,0.032084,0.188144,0.0,0.292667,0.128224,RENDAH,3,False
BENGKULU,2023,Sumatera,0.0397450713800136,0.0880796591240167,0.0,0.298284,0.142136,0.222706,0.0,0.646335,0.252794,RENDAH,3,False
LAMPUNG,2023,Sumatera,0.04060267757861495,0.03973641195569986,0.0,0.262924,0.145322,0.099368,0.0,0.569522,0.203553,RENDAH,3,False
KEPULAUAN BANGKA BELITUNG,2023,Sumatera,0.15320576407506703,0.07753770107238606,0.0,0.202659,0.563533,0.19581,0.0,0.438607,0.299488,RENDAH,3,False
KEPULAUAN RIAU,2023,Sumatera,0.15102144708932358,0.0024876266792363895,0.0,0.029383,0.555421,0.004335,0.0,0.062198,0.155489,RENDAH,3,False
JAKARTA,2023,Jawa,0.019786372180451126,0.0,0.0,0.000751,0.068009,0.0,0.0,0.0,0.017002,RENDAH,2,False
JAWA BARAT,2023,Jawa,0.00538889159304599,0.000788658967931401,0.0,0.084164,0.014536,0.0,0.0,0.181199,0.048934,RENDAH,3,False
JAWA TENGAH,2023,Jawa,0.009899113511419996,0.0016382959839054986,0.0,0.130576,0.031288,0.002168,0.0,0.28202,0.078869,RENDAH,3,False
DAERAH ISTIMEWA YOGYAKARTA,2023,Jawa,0.0014749771049938048,0.001989508700102354,0.0,0.099537,0.0,0.003064,0.0,0.214594,0.054415,RENDAH,3,False
JAWA TIMUR,2023,Jawa,0.013799539170506912,0.004705372301722047,0.0,0.106586,0.045774,0.009993,0.0,0.229907,0.071418,RENDAH,3,False
BANTEN,2023,Jawa,0.005813840716692694,0.0009337757869647407,0.0,0.056509,0.016115,0.00037,0.0,0.121124,0.034402,RENDAH,3,False
BALI,2023,Bali-Nusa,0.03799145006058112,0.002381523900967012,0.0,0.134264,0.135623,0.004064,0.0,0.290032,0.10743,RENDAH,3,False
NUSA TENGGARA BARAT,2023,Bali-Nusa,0.04597972232371209,0.0033138472780416513,0.0,0.214503,0.165292,0.006443,0.0,0.464336,0.159018,RENDAH,3,False
NUSA TENGGARA TIMUR,2023,Bali-Nusa,0.015921047831004415,0.002712156590900799,0.0,0.288388,0.053653,0.004907,0.0,0.624837,0.170849,RENDAH,3,False
KALIMANTAN BARAT,2023,Kalimantan,0.02930572823756239,0.12270956087716453,0.0,0.217332,0.103364,0.311057,0.0,0.470482,0.221226,RENDAH,3,False
KALIMANTAN TENGAH,2023,Kalimantan,0.040470919187490864,0.39274486701739003,0.0,0.223394,0.144832,1.0,0.0,0.48365,0.40712,KURANG,3,False
KALIMANTAN SELATAN,2023,Kalimantan,0.036232554793535085,0.044583293367224594,0.0,0.115462,0.129091,0.111733,0.0,0.249188,0.122503,RENDAH,3,False
KALIMANTAN TIMUR,2023,Kalimantan,0.03955922007882182,0.12702499481435386,0.0,0.086643,0.141446,0.322067,0.0,0.186584,0.162524,RENDAH,3,False
KALIMANTAN UTARA,2023,Kalimantan,0.04429801416469935,0.10766733786974031,0.0,0.147634,0.159046,0.27268,0.0,0.319076,0.1877,RENDAH,3,False
SULAWESI UTARA,2023,Sulawesi,0.09483426037282021,0.013063740228502705,0.0,0.205914,0.34674,0.031317,0.0,0.445678,0.205934,RENDAH,3,False
SULAWESI TENGAH,2023,Sulawesi,0.14184583114840063,0.029781725222863136,0.0,0.158025,0.521342,0.07397,0.0,0.341648,0.23424,RENDAH,3,False
SULAWESI SELATAN,2023,Sulawesi,0.049449681968877224,0.004448251098800229,0.0,0.21838,0.17818,0.009337,0.0,0.472758,0.165069,RENDAH,3,False
SULAWESI TENGGARA,2023,Sulawesi,0.09995082452118613,0.010944317089403239,0.0,0.234826,0.365743,0.02591,0.0,0.508484,0.225034,RENDAH,3,False
GORONTALO,2023,Sulawesi,0.10018274365821095,0.014851051401869158,0.0,0.372881,0.366604,0.035877,0.0,0.808383,0.302716,KURANG,3,False
SULAWESI BARAT,2023,Sulawesi,0.04778120501747892,0.04141904859825896,0.0,0.46109,0.171983,0.103661,0.0,1.0,0.318911,KURANG,3,False
MALUKU,2023,Maluku-Papua,0.2707239723497441,0.00915321091235291,0.0,0.235947,1.0,0.021341,0.0,0.510919,0.383065,KURANG,3,False
MALUKU UTARA,2023,Maluku-Papua,0.26897990140310957,0.022367273416761473,0.0,0.122954,0.993522,0.055054,0.0,0.265463,0.32851,KURANG,3,False
PAPUA BARAT,2023,Maluku-Papua,0.0672415268743581,0.009831821294077371,0.0,0.067267,0.244259,0.023072,0.0,0.144494,0.102956,RENDAH,3,False
PAPUA,2023,Maluku-Papua,0.03403255299455945,0.020309219585976476,0.0,0.140916,0.12092,0.049803,0.0,0.304482,0.118801,RENDAH,3,False
ACEH,2024,Sumatera,0.0759748325772305,0.033851803845322964,0.0,0.327353,0.318075,0.085635,0.0,0.685385,0.272274,RENDAH,3,False
SUMATERA UTARA,2024,Sumatera,0.02444936972768387,0.05159490265259647,0.0,0.253197,0.097298,0.131752,0.0,0.529757,0.189702,RENDAH,3,False
SUMATERA BARAT,2024,Sumatera,0.037700044549535655,0.040262744594085194,0.0,0.22122,0.154075,0.102298,0.0,0.462648,0.179755,RENDAH,3,False
RIAU,2024,Sumatera,0.015674410309002542,0.20637242163463682,0.0,0.281925,0.059699,0.534039,0.0,0.590047,0.295946,RENDAH,3,False
JAMBI,2024,Sumatera,0.012463281690519024,0.09512967000510163,0.0,0.344892,0.04594,0.244905,0.0,0.722194,0.25326,RENDAH,3,False
SUMATERA SELATAN,2024,Sumatera,0.00977300759281681,0.08081928756520657,0.0,0.139263,0.034413,0.20771,0.0,0.290648,0.133193,RENDAH,3,False
BENGKULU,2024,Sumatera,0.04036360193163526,0.09670959189470694,0.0,0.30751,0.165488,0.249011,0.0,0.643742,0.26456,RENDAH,3,False
LAMPUNG,2024,Sumatera,0.020205210412331732,0.020577155080895155,0.0,0.269006,0.079113,0.051133,0.0,0.562935,0.173295,RENDAH,3,False
KEPULAUAN BANGKA BELITUNG,2024,Sumatera,0.15412275546849494,0.08313324844923278,0.0,0.205953,0.652925,0.213724,0.0,0.430608,0.324314,KURANG,3,False
KEPULAUAN RIAU,2024,Sumatera,0.15542023542344158,0.0029293775477488206,0.0,0.029833,0.658484,0.005264,0.0,0.060991,0.181185,RENDAH,3,False
JAKARTA,2024,Jawa,0.018896199309305656,0.0,0.0,0.000771,0.073504,0.0,0.0,0.0,0.018376,RENDAH,2,False
JAWA BARAT,2024,Jawa,0.005324777734520868,0.0009042145030707992,0.0,0.088101,0.015353,0.0,0.0,0.183276,0.049657,RENDAH,3,False
JAWA TENGAH,2024,Jawa,0.01394106454345606,0.0016954819316853291,0.0,0.130665,0.052272,0.002057,0.0,0.272604,0.081733,RENDAH,3,False
DAERAH ISTIMEWA YOGYAKARTA,2024,Jawa,0.0017417209735337146,0.002183040297911956,0.0,0.101293,0.0,0.003324,0.0,0.210962,0.053572,RENDAH,3,False
JAWA TIMUR,2024,Jawa,0.014804744765571752,0.005224435064391539,0.0,0.107363,0.055973,0.011229,0.0,0.223701,0.072726,RENDAH,3,False
BANTEN,2024,Jawa,0.005931673021542224,0.0010180438245089049,0.0,0.059799,0.017953,0.000296,0.0,0.12388,0.035532,RENDAH,3,False
BALI,2024,Bali-Nusa,0.02878487808179009,0.0028347145467259153,0.0,0.131201,0.115875,0.005018,0.0,0.273729,0.098656,RENDAH,3,False
NUSA TENGGARA BARAT,2024,Bali-Nusa,0.021508678710591568,0.0019492933049946864,0.0,0.218913,0.084698,0.002716,0.0,0.457806,0.136305,RENDAH,3,False
NUSA TENGGARA TIMUR,2024,Bali-Nusa,0.00536032531824611,0.002989998231966054,0.0,0.285801,0.015505,0.005421,0.0,0.598182,0.154777,RENDAH,3,False
KALIMANTAN BARAT,2024,Kalimantan,0.030523922394873147,0.1303618137125801,0.0,0.216642,0.123326,0.336478,0.0,0.45304,0.228211,RENDAH,3,False
KALIMANTAN TENGAH,2024,Kalimantan,0.03693419226251913,0.38564768124710824,0.0,0.229261,0.150793,1.0,0.0,0.479523,0.407579,KURANG,3,False
KALIMANTAN SELATAN,2024,Kalimantan,0.03973323349089718,0.04706824308513127,0.0,0.119491,0.162787,0.119987,0.0,0.249153,0.132982,RENDAH,3,False
KALIMANTAN TIMUR,2024,Kalimantan,0.04109542994142218,0.14016482364863195,0.0,0.095789,0.168623,0.361957,0.0,0.199411,0.182498,RENDAH,3,False
KALIMANTAN UTARA,2024,Kalimantan,0.03177885915112193,0.11834086239524197,0.0,0.148743,0.128704,0.305234,0.0,0.310543,0.18612,RENDAH,3,False
SULAWESI UTARA,2024,Sulawesi,0.12443037974683545,0.014785909393737508,0.0,0.207778,0.525698,0.03608,0.0,0.434438,0.249054,RENDAH,3,False
SULAWESI TENGAH,2024,Sulawesi,0.0859257479659171,0.03265240886667948,0.0,0.16358,0.360713,0.082518,0.0,0.341681,0.196228,RENDAH,3,False
SULAWESI SELATAN,2024,Sulawesi,0.04931346027854682,0.005128178033265,0.0,0.230126,0.203836,0.010979,0.0,0.481339,0.174038,RENDAH,3,False
SULAWESI TENGGARA,2024,Sulawesi,0.09682861336865849,0.01199895814686191,0.0,0.237852,0.40743,0.028837,0.0,0.497553,0.233455,RENDAH,3,False
GORONTALO,2024,Sulawesi,0.10536325134386708,0.016881527936145953,0.0,0.368163,0.443999,0.041527,0.0,0.771032,0.31414,KURANG,3,False
SULAWESI BARAT,2024,Sulawesi,0.04758315593400745,0.04516935204896222,0.0,0.477265,0.196422,0.115051,0.0,1.0,0.327868,KURANG,3,False
MALUKU,2024,Maluku-Papua,0.20515162417763158,0.010260516036184211,0.0,0.239576,0.871574,0.024318,0.0,0.501171,0.349266,KURANG,3,False
MALUKU UTARA,2024,Maluku-Papua,0.2351239303629389,0.02441828710534081,0.0,0.095448,1.0,0.061116,0.0,0.198695,0.314953,KURANG,3,False
PAPUA BARAT,2024,Maluku-Papua,0.054184773594294244,0.005052960689998341,0.0,0.064387,0.224709,0.010783,0.0,0.133509,0.09225,RENDAH,3,False
PAPUA,2024,Maluku-Papua,0.03366508167128957,0.004667245630255801,0.0,0.144092,0.136786,0.009781,0.0,0.300782,0.111837,RENDAH,3,False
