provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
MALUKU UTARA,2018,Maluku-Papua,0.23517312110272398,0.02250164095831966,4305492.340827043,0.21918,0.681128,0.06077,0.715309,0.527279,0.496121,KURANG,4,True
PAPUA BARAT,2018,Maluku-Papua,0.21688973868706182,0.01581421287444232,5461844.275547057,0.106148,0.627883,0.041852,0.909258,0.254392,0.458346,KURANG,4,True
PAPUA,2018,Maluku-Papua,0.06754893642809527,0.014313526452942246,1988927.554390643,0.127577,0.192979,0.037606,0.326765,0.306126,0.215869,RENDAH,4,True
ACEH,2019,Sumatera,0.02942215450595339,0.03287530801497282,755990.3709346727,0.309834,0.102337,0.086942,0.110532,0.721094,0.255226,RENDAH,4,True
SUMATERA UTARA,2019,Sumatera,0.08218854597866032,0.05354044564667951,2406410.887058213,0.21336,0.293569,0.14298,0.367083,0.495977,0.324902,KURANG,4,True
SUMATERA BARAT,2019,Sumatera,0.03971657997992518,0.03534994068801898,1112414.0016424856,0.223649,0.139645,0.093652,0.165937,0.519986,0.229805,RENDAH,4,True
RIAU,2019,Sumatera,0.016751327705520035,0.18681694488741935,434928.14457725565,0.267539,0.056416,0.504393,0.060624,0.622401,0.310959,KURANG,4,True
JAMBI,2019,Sumatera,0.012541921372889911,0.11622665582412652,388903.7563793394,0.30994,0.04116,0.31297,0.05347,0.721342,0.282236,RENDAH,4,True
SUMATERA SELATAN,2019,Sumatera,0.010908534576095655,0.07854499129124888,906787.2260273972,0.151694,0.035241,0.210787,0.133973,0.352083,0.183021,RENDAH,4,True
BENGKULU,2019,Sumatera,0.03592098590120702,0.07756871893701187,1361300.8961355106,0.283502,0.125889,0.208139,0.204625,0.65965,0.299576,RENDAH,4,True
LAMPUNG,2019,Sumatera,0.01839197881195611,0.023128606223987894,609213.2045734015,0.297337,0.062362,0.060511,0.087716,0.691933,0.225631,RENDAH,4,True
KEPULAUAN BANGKA BELITUNG,2019,Sumatera,0.15076562607676935,0.0754341534008683,5829655.343532492,0.204499,0.542102,0.202351,0.899213,0.4753,0.529741,CUKUP,4,True
KEPULAUAN RIAU,2019,Sumatera,0.1383168272662384,0.00323429693076374,4496305.591987866,0.03167,0.496986,0.006563,0.691949,0.072013,0.316878,KURANG,4,True
JAKARTA,2019,Jawa,0.009528279433744919,0.0,240101.03473881626,0.000809,0.030238,0.0,0.030339,0.0,0.015144,RENDAH,3,False
