provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,ipsda,status,is_prediction,model_version
JAMBI,2027,Sumatera,0.019097,0.092763,471324.844634,0.315702,0.264105,RENDAH,True,sda_rf_v2.0
JAMBI,2028,Sumatera,0.018325,0.092168,365072.686767,0.31392,0.263829,RENDAH,True,sda_rf_v2.0
JAMBI,2029,Sumatera,0.017701,0.091868,356752.979905,0.309827,0.265097,RENDAH,True,sda_rf_v2.0
JAMBI,2030,Sumatera,0.017331,0.092914,339478.712659,0.309496,0.264599,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2025,Jawa,0.005608,0.001295,82606.223051,0.084863,0.05258,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2026,Jawa,0.006231,0.00119,143558.86733,0.085357,0.054885,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2027,Jawa,0.006592,0.001039,124317.782221,0.082623,0.053602,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2028,Jawa,0.005882,0.001067,95146.48194,0.081767,0.052248,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2029,Jawa,0.005941,0.001038,93492.195349,0.0794,0.051327,RENDAH,True,sda_rf_v2.0
JAWA BARAT,2030,Jawa,0.005931,0.001276,88028.31981,0.080658,0.052478,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2025,Jawa,0.012485,0.001987,132750.690624,0.123344,0.081772,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2026,Jawa,0.011683,0.002249,177622.038848,0.122348,0.082371,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2027,Jawa,0.01126,0.002341,132486.556491,0.118054,0.081714,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2028,Jawa,0.01101,0.002269,103484.856882,0.117976,0.081821,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2029,Jawa,0.010757,0.002244,104781.298162,0.11297,0.08127,RENDAH,True,sda_rf_v2.0
JAWA TENGAH,2030,Jawa,0.010126,0.002217,96274.342208,0.11218,0.080044,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2025,Jawa,0.013285,0.004564,183942.640979,0.108161,0.078509,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2026,Jawa,0.013414,0.004684,265570.712168,0.107028,0.079331,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2027,Jawa,0.012883,0.004585,217908.379291,0.10829,0.077513,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2028,Jawa,0.012852,0.004249,169685.526242,0.108144,0.077646,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2029,Jawa,0.012781,0.004693,167674.514973,0.107414,0.07942,RENDAH,True,sda_rf_v2.0
JAWA TIMUR,2030,Jawa,0.012661,0.004568,157701.78274,0.108012,0.078905,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2025,Kalimantan,0.030435,0.127178,432043.925198,0.214878,0.225881,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2026,Kalimantan,0.030611,0.119318,685412.169076,0.215453,0.229556,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2027,Kalimantan,0.030913,0.123513,594925.802374,0.214334,0.228893,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2028,Kalimantan,0.031,0.118602,483244.202668,0.214215,0.227043,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2029,Kalimantan,0.03107,0.117458,478599.625843,0.214793,0.226093,RENDAH,True,sda_rf_v2.0
KALIMANTAN BARAT,2030,Kalimantan,0.030435,0.116514,454252.900986,0.21409,0.227385,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2025,Kalimantan,0.035573,0.055022,437948.827001,0.121978,0.157901,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2026,Kalimantan,0.036431,0.071417,724730.38303,0.125893,0.166673,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2027,Kalimantan,0.036084,0.088414,698831.898078,0.130758,0.170783,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2028,Kalimantan,0.035506,0.101944,520038.984645,0.136318,0.181504,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2029,Kalimantan,0.034804,0.107868,497196.975798,0.139673,0.184058,RENDAH,True,sda_rf_v2.0
KALIMANTAN SELATAN,2030,Kalimantan,0.034129,0.1083,476805.860749,0.140764,0.18481,RENDAH,True,sda_rf_v2.0
KALIMANTAN TENGAH,2025,Kalimantan,0.03654,0.325105,557745.37413,0.227521,0.402674,KURANG,True,sda_rf_v2.0
KALIMANTAN TENGAH,2026,Kalimantan,0.037594,0.32828,801536.916008,0.225864,0.407745,KURANG,True,sda_rf_v2.0
KALIMANTAN TENGAH,2027,Kalimantan,0.038704,0.311005,725992.639495,0.22352,0.403325,KURANG,True,sda_rf_v2.0
KALIMANTAN TENGAH,2028,Kalimantan,0.038351,0.327244,643998.611281,0.222506,0.410477,KURANG,True,sda_rf_v2.0
KALIMANTAN TENGAH,2029,Kalimantan,0.039039,0.327392,631888.504072,0.220907,0.405656,KURANG,True,sda_rf_v2.0
KALIMANTAN TENGAH,2030,Kalimantan,0.038803,0.31165,607607.795787,0.221035,0.403939,KURANG,True,sda_rf_v2.0
KALIMANTAN TIMUR,2025,Kalimantan,0.037368,0.13151,457206.728871,0.10557,0.188377,RENDAH,True,sda_rf_v2.0
KALIMANTAN TIMUR,2026,Kalimantan,0.037125,0.128246,723039.363189,0.112327,0.190737,RENDAH,True,sda_rf_v2.0
KALIMANTAN TIMUR,2027,Kalimantan,0.036756,0.114843,623547.038371,0.112493,0.18721,RENDAH,True,sda_rf_v2.0
KALIMANTAN TIMUR,2028,Kalimantan,0.036801,0.116032,516263.013884,0.115727,0.1867,RENDAH,True,sda_rf_v2.0
KALIMANTAN TIMUR,2029,Kalimantan,0.036064,0.110036,497929.378581,0.121371,0.186704,RENDAH,True,sda_rf_v2.0
KALIMANTAN TIMUR,2030,Kalimantan,0.035136,0.108911,472488.252604,0.125955,0.183578,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2025,Kalimantan,0.034783,0.11835,461645.703018,0.142693,0.190299,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2026,Kalimantan,0.034311,0.11296,703992.026262,0.137275,0.197877,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2027,Kalimantan,0.035073,0.11125,586350.913931,0.137092,0.19163,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2028,Kalimantan,0.035906,0.107467,512429.216142,0.139055,0.189717,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2029,Kalimantan,0.03512,0.107722,476716.325376,0.141521,0.187478,RENDAH,True,sda_rf_v2.0
KALIMANTAN UTARA,2030,Kalimantan,0.034332,0.106732,481852.638853,0.142668,0.191342,RENDAH,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2025,Sumatera,0.125081,0.087738,1293848.749497,0.211895,0.311781,KURANG,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2026,Sumatera,0.114199,0.08366,1586200.201505,0.212293,0.311445,KURANG,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2027,Sumatera,0.101878,0.079429,1636606.513988,0.213554,0.306513,KURANG,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2028,Sumatera,0.096155,0.076022,1356449.575842,0.216014,0.296019,RENDAH,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2029,Sumatera,0.09278,0.074055,1269797.663543,0.217705,0.284824,RENDAH,True,sda_rf_v2.0
KEPULAUAN BANGKA BELITUNG,2030,Sumatera,0.092185,0.074373,1181296.287407,0.219223,0.275364,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2025,Sumatera,0.127228,0.008404,1281524.200991,0.066241,0.203177,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2026,Sumatera,0.119665,0.027491,1665319.517348,0.096798,0.217786,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2027,Sumatera,0.103091,0.055037,1736789.231755,0.106899,0.226887,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2028,Sumatera,0.09828,0.065138,1465111.463929,0.123972,0.217665,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2029,Sumatera,0.095586,0.071616,1301382.517261,0.130024,0.212573,RENDAH,True,sda_rf_v2.0
KEPULAUAN RIAU,2030,Sumatera,0.093672,0.075562,1251778.501635,0.136903,0.205635,RENDAH,True,sda_rf_v2.0
LAMPUNG,2025,Sumatera,0.026405,0.038491,378904.239016,0.270719,0.195323,RENDAH,True,sda_rf_v2.0
LAMPUNG,2026,Sumatera,0.027575,0.05199,607219.801181,0.263768,0.209332,RENDAH,True,sda_rf_v2.0
LAMPUNG,2027,Sumatera,0.028228,0.059408,506496.378141,0.267479,0.213447,RENDAH,True,sda_rf_v2.0
LAMPUNG,2028,Sumatera,0.027186,0.058496,435894.286985,0.268807,0.213576,RENDAH,True,sda_rf_v2.0
LAMPUNG,2029,Sumatera,0.02604,0.051168,415816.624319,0.267338,0.214813,RENDAH,True,sda_rf_v2.0
LAMPUNG,2030,Sumatera,0.02503,0.050221,406849.432498,0.268396,0.214526,RENDAH,True,sda_rf_v2.0
MALUKU,2025,Maluku-Papua,0.173157,0.012715,1721626.156031,0.234783,0.354393,KURANG,True,sda_rf_v2.0
MALUKU,2026,Maluku-Papua,0.149223,0.013405,2126088.545141,0.227679,0.363298,KURANG,True,sda_rf_v2.0
MALUKU,2027,Maluku-Papua,0.141982,0.012894,2505140.799722,0.224073,0.356956,KURANG,True,sda_rf_v2.0
MALUKU,2028,Maluku-Papua,0.139806,0.012448,2470512.533155,0.220723,0.343699,KURANG,True,sda_rf_v2.0
MALUKU,2029,Maluku-Papua,0.143001,0.012295,2122786.765282,0.215563,0.332381,KURANG,True,sda_rf_v2.0
MALUKU,2030,Maluku-Papua,0.138839,0.012265,2149574.865649,0.211067,0.32045,KURANG,True,sda_rf_v2.0
MALUKU UTARA,2025,Maluku-Papua,0.171008,0.023104,1644781.692596,0.11876,0.320471,KURANG,True,sda_rf_v2.0
MALUKU UTARA,2026,Maluku-Papua,0.158066,0.023364,2248779.989864,0.123907,0.327806,KURANG,True,sda_rf_v2.0
MALUKU UTARA,2027,Maluku-Papua,0.140698,0.020778,2534671.513589,0.126689,0.325464,KURANG,True,sda_rf_v2.0
