kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1103,Aceh Selatan,ACEH,kab_kota,2026,14.73,9.3667,65.2468,9966.9996
1103,Aceh Selatan,ACEH,kab_kota,2027,14.7315,9.4833,65.3993,10360.9991
1103,Aceh Selatan,ACEH,kab_kota,2028,14.7331,9.6,65.5518,10754.9987
1103,Aceh Selatan,ACEH,kab_kota,2029,14.7347,9.7167,65.7042,11148.9983
1103,Aceh Selatan,ACEH,kab_kota,2030,14.7363,9.8333,65.8567,11542.9978
1103,Aceh Selatan,ACEH,kab_kota,2031,14.7378,9.95,66.0092,11936.9974
1103,Aceh Selatan,ACEH,kab_kota,2032,14.7394,10.0667,66.1616,12330.997
1103,Aceh Selatan,ACEH,kab_kota,2033,14.741,10.1833,66.3141,12724.9965
1103,Aceh Selatan,ACEH,kab_kota,2034,14.7425,10.3,66.4666,13118.9961
1103,Aceh Selatan,ACEH,kab_kota,2035,14.7441,10.4167,66.619,13512.9957
1103,Aceh Selatan,ACEH,kab_kota,2036,14.7457,10.5333,66.7715,13906.9952
1103,Aceh Selatan,ACEH,kab_kota,2037,14.7473,10.65,66.924,14300.9948
1103,Aceh Selatan,ACEH,kab_kota,2038,14.7488,10.7667,67.0764,14694.9943
1103,Aceh Selatan,ACEH,kab_kota,2039,14.7504,10.8833,67.2289,15088.9939
1103,Aceh Selatan,ACEH,kab_kota,2040,14.752,11,67.3813,15482.9935
1103,Aceh Selatan,ACEH,kab_kota,2041,14.7535,11.1167,67.5338,15876.993
1103,Aceh Selatan,ACEH,kab_kota,2042,14.7551,11.2333,67.6863,16270.9926
1103,Aceh Selatan,ACEH,kab_kota,2043,14.7567,11.35,67.8387,16664.9922
1103,Aceh Selatan,ACEH,kab_kota,2044,14.7583,11.4667,67.9912,17058.9917
1103,Aceh Selatan,ACEH,kab_kota,2045,14.7598,11.5833,68.1437,17452.9913
1104,Aceh Tenggara,ACEH,kab_kota,2025,,,68.9189,
1104,Aceh Tenggara,ACEH,kab_kota,2026,14.6593,10.4976,69.0575,9259.2678
1104,Aceh Tenggara,ACEH,kab_kota,2027,14.7987,10.6308,69.1961,9421.5356
1104,Aceh Tenggara,ACEH,kab_kota,2028,14.938,10.764,69.3348,9583.8034
1104,Aceh Tenggara,ACEH,kab_kota,2029,15.0773,10.8971,69.4734,9746.0712
1104,Aceh Tenggara,ACEH,kab_kota,2030,15.2167,11.0303,69.612,9908.339
1104,Aceh Tenggara,ACEH,kab_kota,2031,15.356,11.1635,69.7506,10070.6068
1104,Aceh Tenggara,ACEH,kab_kota,2032,15.4953,11.2966,69.8892,10232.8746
1104,Aceh Tenggara,ACEH,kab_kota,2033,15.6347,11.4298,70.0278,10395.1425
1104,Aceh Tenggara,ACEH,kab_kota,2034,15.774,11.563,70.1664,10557.4103
1104,Aceh Tenggara,ACEH,kab_kota,2035,15.9133,11.6961,70.305,10719.6781
1104,Aceh Tenggara,ACEH,kab_kota,2036,16.0527,11.8293,70.4437,10881.9459
1104,Aceh Tenggara,ACEH,kab_kota,2037,16.192,11.9625,70.5823,11044.2137
1104,Aceh Tenggara,ACEH,kab_kota,2038,16.3313,12.0956,70.7209,11206.4815
1104,Aceh Tenggara,ACEH,kab_kota,2039,16.4707,12.2288,70.8595,11368.7493
1104,Aceh Tenggara,ACEH,kab_kota,2040,16.61,12.362,70.9981,11531.0171
1104,Aceh Tenggara,ACEH,kab_kota,2041,16.7493,12.4951,71.1367,11693.2849
1104,Aceh Tenggara,ACEH,kab_kota,2042,16.8887,12.6283,71.2753,11855.5527
1104,Aceh Tenggara,ACEH,kab_kota,2043,17.028,12.7615,71.4139,12017.8205
1104,Aceh Tenggara,ACEH,kab_kota,2044,17.1673,12.8946,71.5526,12180.0883
1104,Aceh Tenggara,ACEH,kab_kota,2045,17.3067,13.0278,71.6912,12342.3561
1105,Aceh Timur,ACEH,kab_kota,2025,,,69.27,
1105,Aceh Timur,ACEH,kab_kota,2026,13.1002,8.7907,69.36,10528.6662
1105,Aceh Timur,ACEH,kab_kota,2027,13.1104,8.9069,69.45,10773.3324
1105,Aceh Timur,ACEH,kab_kota,2028,13.1206,9.023,69.54,11017.9986
1105,Aceh Timur,ACEH,kab_kota,2029,13.1307,9.1391,69.63,11262.6648
1105,Aceh Timur,ACEH,kab_kota,2030,13.1409,9.2552,69.72,11507.331
1105,Aceh Timur,ACEH,kab_kota,2031,13.1511,9.3713,69.81,11751.9972
1105,Aceh Timur,ACEH,kab_kota,2032,13.1613,9.4875,69.9,11996.6634
1105,Aceh Timur,ACEH,kab_kota,2033,13.1715,9.6036,69.99,12241.3296
